gene_id,A10_Ta18fBr_a,A11_Ta18fBr_b,A12_Ta18fBr_c,B10_CY07fBr_a,B11_CY07fBr_b,B12_CY07fBr_c,D10_Ta18mBr_a,D11_Ta18mBr_b,D12_Ta18mBr_c,E10_CY07mBr_a,E11_CY07mBr_b,E12_CY07mBr_c
FBgn0236150,1173,1111,1114,1810,1403,8120,1205,1219,1396,1972,1594,1488
FBgn0238641,2215,1855,1720,1710,1455,8203,2230,2231,2513,1849,1595,1322
FBgn0238640,407,304,308,411,402,1896,418,351,532,549,412,308
FBgn0238643,25594,33304,24559,24568,27155,135952,28014,35764,40592,18644,25423,26126
FBgn0238644,751,653,608,1111,850,4344,742,820,948,1023,864,794
FBgn0238647,800,630,776,686,548,3070,962,890,914,884,719,537
FBgn0238646,22878,19218,18611,23227,18186,93609,25472,23885,26311,28094,21445,18621
FBgn0238649,3707,2980,2767,3253,2945,14461,3761,3369,3504,3704,2929,2633
FBgn0238648,493,453,381,498,400,2045,482,461,543,600,392,395
FBgn0240072,25,27,16,14,9,117,34,21,35,20,28,17
FBgn0232672,314,380,198,369,291,1300,335,371,390,352,277,312
FBgn0232670,0,0,0,0,0,4,0,0,0,0,0,0
FBgn0232671,423,344,332,324,255,1243,374,383,463,328,342,241
FBgn0241142,7,4,2,0,0,13,12,5,6,0,2,2
FBgn0241143,28,0,0,16,4,14,54,18,0,15,4,0
FBgn0241140,147,110,100,208,179,948,130,104,120,333,251,283
FBgn0241141,0,0,0,0,0,0,12,0,0,0,0,0
FBgn0241146,169,82,0,102,97,461,86,59,109,119,74,124
FBgn0241147,123,129,87,63,59,242,75,31,85,57,48,45
FBgn0241144,2038,1397,1448,1270,959,5119,2443,1850,2609,1962,1495,1150
FBgn0231894,3,10,3,7,4,7,20,20,10,0,0,0
