genes,A10_Ta18fBr_a,A11_Ta18fBr_b,A12_Ta18fBr_c,B10_CY07fBr_a,B11_CY07fBr_b,B12_CY07fBr_c,D10_Ta18mBr_a,D11_Ta18mBr_b,D12_Ta18mBr_c,E10_CY07mBr_a,E11_CY07mBr_b,E12_CY07mBr_c
FBgn0239024,507.341705,520.031372,532.627136,505.400146,516.114624,502.400208,482.304962,477.327301,492.485107,517.242065,503.965607,498.922424
FBgn0239025,33.677437,26.415279,31.785521,28.204353,27.573473,26.601086,31.223576,32.088718,29.370411,35.78545,24.004101,27.357817
FBgn0239027,8.711657,10.61132,8.834195,8.945537,9.222892,8.921888,9.382641,8.753652,8.122037,8.182048,9.201607,9.216383
FBgn0239028,62.863487,56.571758,55.399395,39.073708,38.95237,37.001842,51.228806,52.309662,58.858627,42.699947,39.344257,39.06649
FBgn0239030,17.315029,20.885246,17.310993,14.908642,17.783438,17.891052,16.761995,18.265509,18.323154,16.002695,16.676989,18.612947
FBgn0239031,3.045254,4.026918,4.431299,5.739827,5.704493,5.648061,2.875975,4.525412,3.31049,2.589755,3.021231,6.457349
FBgn0239032,17.099924,15.96172,14.573947,16.890734,16.042063,16.473864,15.665058,14.784472,15.747022,17.01969,16.191439,15.024661
FBgn0239035,79.27404,75.057167,77.793205,70.58699,71.193817,70.79628,79.934494,80.704536,74.174767,82.424049,70.339798,70.417274
FBgn0239036,58.973255,66.304451,63.092979,52.726791,52.323574,50.131741,73.113281,70.479469,69.032524,65.573784,55.782131,52.350304
FBgn0239037,604.742554,629.336914,590.035156,615.929504,670.876282,672.269287,582.815552,637.6203,624.477539,600.967163,697.461182,692.941467
FBgn0239038,0,0.202019,0.277229,0.175651,0.581349,0.423145,0.222445,0,0.406981,0.380711,0.213907,0.786703
FBgn0239039,4.060812,3.818193,3.975291,2.469538,2.490456,1.949356,4.721428,4.002043,3.436261,2.249863,2.33938,2.625644
FBgn0239040,10.763621,12.695796,12.629759,11.435518,10.76572,9.720919,10.015885,9.620226,10.283751,10.679361,9.296164,7.846189
FBgn0239041,11.351159,11.084546,11.321441,8.68195,6.721332,7.340877,12.205577,10.381209,10.223561,8.015124,7.411729,7.896543
FBgn0239042,69.045822,69.756889,68.263206,70.787216,77.078102,77.252441,71.044456,71.064903,70.8256,77.007607,79.754204,81.502907
FBgn0239043,6.642915,3.7241,4.674284,3.838477,2.373637,2.682,8.448259,11.548853,9.234463,1.553179,1.848217,2.499009
