"","gene_id","seqnames","l2fc","qval","sex"
"1062","FBgn0194772","Scf_2L",-0.229480441042507,0.00793018371680231,"f"
"1063","FBgn0194780","Scf_2L",-0.226208247354002,0.0212858592413385,"f"
"1064","FBgn0194800","Scf_2L",-1.03208329262034,0.00285485919209068,"f"
"1065","FBgn0194807","Scf_2L",0.141436193690166,0.00884807920325856,"m"
"1066","FBgn0194810","Scf_2L",0.26275448345063,0.00150644454222507,"m"
"1067","FBgn0194837","Scf_2L",-0.184061896682825,0.000779769511764173,"f"
"1068","FBgn0194848","Scf_2L",-0.519740919196923,7.68199093193777e-05,"f"
"1069","FBgn0194857","Scf_2L",4.61190736223404,3.66709895172817e-07,"m"
"1070","FBgn0194932","Scf_2L",-0.317708647941596,0.00062710101848458,"f"
"1071","FBgn0194934","Scf_2L",-0.342699308206307,0.0444019677472486,"f"
"1072","FBgn0194968","Scf_2L",0.157816775198447,0.0479305735380609,"m"
"1073","FBgn0194974","Scf_2L",0.117509221177811,1.82844735901753e-05,"m"
"1074","FBgn0194996","Scf_2L",0.123018541000937,1.24678264733628e-05,"m"
"1075","FBgn0195007","Scf_2L",-0.123703866352965,0.0180595027008561,"f"
"1076","FBgn0195009","Scf_2L",0.183028475760536,0.00893293837243064,"m"
"1077","FBgn0195019","Scf_2L",0.20685004317381,0.00030979123078455,"m"
"1078","FBgn0195084","Scf_2L",0.230359831388226,0.0406979834253096,"m"
"1079","FBgn0195091","Scf_2L",2.99675561484536,0.0139862397944245,"m"
"1080","FBgn0195134","Scf_2L",-0.15532081621108,0.000559990152242672,"f"
"1081","FBgn0195148","Scf_2L",0.2354550508571,0.0270042768895019,"m"
"1082","FBgn0195171","Scf_2L",1.0872735887041,5.57903046575542e-07,"m"
"1083","FBgn0195176","Scf_2L",0.148410335357641,0.0477281614281755,"m"
"1084","FBgn0195181","Scf_2L",0.124399544249815,0.0138481931632406,"m"
"1085","FBgn0195185","Scf_2L",0.225454135622095,0.0091931312314044,"m"
"1086","FBgn0195188","Scf_2L",0.20649279435789,9.71202495725344e-06,"m"
"1087","FBgn0195201","Scf_2L",-0.318421461139648,0.000904719097060472,"f"
"1088","FBgn0195232","Scf_2L",0.156065375927846,0.017081552419874,"m"
"1089","FBgn0195249","Scf_2L",1.35467707574315,4.28028928945945e-05,"m"
"1090","FBgn0195296","Scf_2L",0.189670945528244,0.0403533475054663,"m"
"1091","FBgn0195304","Scf_2L",-1.10586251479371,0.000732118250396917,"f"
"1092","FBgn0195370","Scf_2L",0.107125869585171,0.0437840070029016,"m"
"1093","FBgn0195414","Scf_2L",-0.353233205326452,0.00126173079704635,"f"
"1094","FBgn0195430","Scf_2L",0.164569833872258,0.0383261367059075,"m"
"1095","FBgn0195463","Scf_2L",-0.24999283204823,0.0121170172127574,"f"
"1096","FBgn0195500","Scf_2L",0.143306305895577,0.00820567403460704,"m"
"1097","FBgn0195517","Scf_2L",-0.130344734223892,0.0474328108234693,"f"
"1098","FBgn0195528","Scf_2L",0.175813033356461,0.00966955069310671,"m"
"1099","FBgn0195555","Scf_2L",0.244626651699536,0.0157330346768027,"m"
