genes,A07_w501fBr_a,A08_w501fBr_b,A09_w501fBr_c,B07_FA03fBr_a,B08_FA03fBr_b,B09_FA03fBr_c,D07_w501mBr_a,D08_w501mBr_b,D09_w501mBr_c,E08_FA03mBr_b,E09_FA03mBr_c
FBgn0184177,0.263811,0.12869,0.146059,0,0.407489,0.144041,0.747954,0,0.105321,0,0
FBgn0184179,18.259766,21.102947,19.867603,16.415689,17.669121,22.92757,15.928123,17.872168,16.76825,19.306246,18.115093
FBgn0184180,110.874664,106.996063,103.413849,116.913788,109.227615,99.115799,122.966667,120.130661,114.938736,105.646797,126.635864
FBgn0184181,0.209963,0.194497,0.16128,0.185624,0.232667,0.173062,0.077412,0.096852,0.071275,0.223483,0.125552
FBgn0184182,223.504456,231.868988,223.305695,204.621857,243.280655,222.822983,204.537369,233.267395,231.944092,222.31665,215.014038
FBgn0184183,90.983902,110.606293,104.628418,91.133316,94.354248,116.396004,91.134933,99.117744,98.178596,100.694878,101.979073
FBgn0184184,87.210571,99.322365,98.185677,86.91983,96.033089,93.341187,97.256577,94.960304,100.842911,94.442558,102.257034
FBgn0184185,101.146782,95.446548,95.743309,111.222847,110.344391,93.575401,108.707108,101.689804,103.268372,103.500389,107.627663
FBgn0184186,19.564812,21.52758,19.759464,27.499424,25.738594,21.774025,23.215862,18.612677,23.348358,23.936518,26.806984
FBgn0184187,0.105355,0.02418,0,0.165488,0.110693,0.079377,0.050837,0.048243,0.075342,0.196167,0.184775
FBgn0184188,46.772282,48.255363,47.865273,46.89193,46.046158,41.598045,51.451508,47.953663,47.14011,45.504448,48.197803
FBgn0184189,37.435089,34.547909,38.070667,38.805115,35.41827,35.489388,40.364532,40.183117,41.785919,35.867443,36.175373
